"","x"
"1329","Schultz (1994). ""An evolutionary approach to learning in robots,"" Machine Learning Workshop on Robot Learning,"
"1330","Generalizations of the bias/variance decomposition for prediction error."
"1331","Context-based similarity applied to retrieval of relevant cases."
"1332","Experiments with a New Boosting Algorithm."
"1333","Maximizing the robustness of a linear threshold classifier with discrete weights. Network:"
"1334","Machine learning applied to diagnosis of sport injuries."
"1335","ftp:##ftp.cs.orst.edu#pub#tgd#papers#tr-calibration.ps.gz"
"1336","Identification and control of nonlinear systems using neural network models: Design and stability analysis."
"1337","DLAB: A declarative language bias formalism."
"1338","Feedback stabilization using two-hidden-layer nets."
"1339","Autonomous Learning from the Environment."
"1340","Predicting time series with support vector machines."
"1341","(1994) ""Evaluation of Pattern Classifiers for Fingerprint and OCR Applications,"""
"1342","http:##robotics.eecs.berkeley.edu#~gpappas#papers#saturation96.ps"
"1343","Clique detection via genetic programming."
"1344","Combining rules and cases to learn case adaptation."
"1345","Inferential Theory of Learning: Developing Foundations for Multistrategy Learning, in Machine Learning: A Multistrategy Approach, Vol. IV, R.S."
"1346","""Comparing Support Vector Machines with Gaussian kernels to radial basis function classifiers,"""
"1347","On the Induction of Intelligible Ensembles,"
"1348","http:##www.math.rutgers.edu#~sontag#FTP_DIR#iiss-asw.ps.gz"
"1349","http:##ftp.ics.uci.edu#pub#smyth#papers#prl.ps.Z"
"1350","Belief revision in probability theory."
"1351","From inheritance relation to non-axiomatic logic."
"1352","Probably approximately optimal satisfic-ing strategies."
"1353","Non-axiomatic reasoning system (version 2.2)."
"1354","An unified treatment of uncertainties."
"1355","http:##www.stern.nyu.edu#~aweigend#Research#Papers#BEFORENYU#Srivastava.Weigend.AAAI.ps.Z"
"1356","The problem with noise and small disjuncts."
"1357","Estimating the error rate of a prediction rule: improvement on cross-validation."
"1358","http:##ilk.kub.nl#~ilk#papers#NPChunking.ps"
"1359","http:##www.aic.nrl.navy.mil#~spears#papers#mlw92.ps.gz"
"1360","Solving 3-SAT by GAs adapting constraint weights."
"1361","ftp:##cns.brown.edu#nin#papers#aistat97.ps.Z"
"1362","http:##www.wi.leidenuniv.nl#home#joost#chapter6.ps.gz"
"1363","What online Machine Learning can do for Knowledge Acquisition."
"1364","""Adaptive source separation without prewhitening,"""
"1365","ftp:##ftp.ai.univie.ac.at#papers#oefai-tr-97-31.ps.Z"
"1366","ftp:##ftp.stat.berkeley.edu#pub#users#breiman#arcing-the-edge.ps.Z"
"1367","Job Shop Scheduling with Genetic Algorithms,"
"1368","Blind separation of delayed sources based on information maximisation,"
"1369","Reference classes and multiple inheritances."
"1370","http:##www.stern.nyu.edu#~aweigend#Research#Papers#ICA#Back.Weigend_IJNS97_300dpi.ps"
"1371","A theory of inferred causation."
"1372","Using qualitative models to guide inductive learning."
"1373","Explanation based learning: A comparison of symbolic and neural network approaches."
"1374","Performance of multi-parent crossover operators on numerical function optimization problems."
"1375","http:##www.aic.nrl.navy.mil#papers#1997#AIC-97-018.ps.Z"
"1376","Automated decomposition of model-based learning problems."
"1377","""Evolving Visual Routines,"""
"1378","The Use of Explicit Goals for Knowledge to Guide Inference and Learning."
"1379","Decision Models: A Theory of Volitional Explanation."
"1380","Representation and evolution of neural networks."
"1381","Incremental Learning of Explanation Patterns and their Indices."
"1382","http:##www.first.gmd.de#persons#Kohlmorgen.Jens#nips97.ps.gz"
"1383","Finding new rules for incomplete theories: Explicit biases for induction with contextual information."
"1384","Baird (1995). Residual algorithms: Reinforcement learning with function approximation."
"1385","Unsupervised learning with the soft-means algorithm."
"1386","""Protein Sequencing Experiment Planning Using Analogy,"""
"1387","http:##www-eksl.cs.umass.edu#papers#ijcai95-msa_95-66.ps"
"1388","Learning Goal Oriented Bayesian Networks for Telecommunications Management."
"1389","Analytical mean squared error curves in temporal difference learning."
"1390","http:##www.cs.wisc.edu#~fischer#ftp#pub#tech-reports#ncstrl.uwmadison#CS-TR-93-1186#CS-TR-93-1186.ps.Z"
"1391","Free energy coding."
"1392","http:##robotics.stanford.edu#~urszula#papers#expl-sss98.ps"
"1393","MML and Bayesianism: similarities and differences."
"1394","A performance analysis of the CNS-1 on large, dense backpropagation networks."
"1395","Case-based seeding for an interactive crisis response assistant."
"1396","Learning to Predict User Operations for Adaptive Scheduling."
"1397","Bayesian and information-theoretic priors for Bayesian network parameters."
"1398","A Goal-Based Approach to Intelligent Information Retrieval."
"1399","Using Communication to Reduce Locality in Distributed Multi-Agent Learning."
"1400","How good are genetic algortihms at finding large cliques: an experimental study,"
"1401","""Active Learning with Statistical Models,"""
"1402","Characterizing rational versus exponential learning curves."
"1403","Using sampling and queries to extract rules from trained neural networks."
"1404","Fast equi-partitioning of rectangular domains using stripe decomposition."
"1405","Power system security margin prediction using radial basis function networks."
"1406","Evolving Fuzzy Prototypes for Efficient Data Clustering."
"1407","Worst-case quadratic loss bounds for on-line prediction of linear functions by gradient descent."
"1408","Long. The learning complexity of smooth functions of a single variable."
"1409","The utility of feature weighting in nearest-neighbor algorithms."
"1410","Estimating attributes: Analysis and extension of relief."
"1411","Average-case analysis of a nearest neighbour algorithm."
"1412","file:##ftp.cs.utexas.edu#pub#neural-nets#papers#prior.eugenic-thesis.ps.Z"
"1413","The coevolution of mutation rates."
"1414","Genetic-based machine learning and behavior based robotics: a new syntesis."
"1415","Probabilistic instance-based learning."
"1416","http:##www.cs.purdue.edu#homes#park#icga95.ps.Z"
"1417","http:##www.cogs.susx.ac.uk#users#christ#papers#constructive-learners.ps"
"1418","(1997b) Probabilistic Modeling for Combinatorial Optimization,"
"1419","a stochastic approach to Inductive Logic Programming."
"1420","(1997) MIMIC: Finding Optima by Estimating Probability Densities,"
"1421","A Study on the Generalization Capabilities of XCS."
"1422","Efficient learning of selective Bayesian network classifiers."
"1423","http:##www.cs.ucc.ie#~dgb#papers#UK3.ps.Z"
"1424","ftp:##ftp.cs.umass.edu#pub#anw#pub#duff#ml95_corrected.ps.Z"
"1425","On the Boosting Ability of Top-Down Decision Tree Learning Algorithms."
"1426","A counter example to the stronger version of the binary tree hypothesis,"
"1427","http:##www.demo.cs.brandeis.edu#postscript.dump#icec96.ps.gz"
"1428","Learning to sense selectively in physical domains."
"1429","http:##www.demo.cs.brandeis.edu#postscript.dump#gendiv.ps.gz"
"1430","Unsupervised learning by convex and conic coding."
"1431","A unified gradient-descent/clustering algorithm architecture for finite state machine induction."
"1432","Boltzmann chains and hidden Markov models."
"1433","An Evolutionary Approach to Vector Quantizer Design."
"1434","constructive induction of M-of-N concepts for discriminators in decision trees."
"1435","http:##www-ai.ijs.si#AramKaralic#bibliography#1997a.ps"
"1436","http:##www.cc.gatech.edu#faculty#ashwin#papers#git-cs-97-04.ps.Z"
"1437","Mutation rates as adaptations."
"1438","http:##www.cs.utexas.edu#users#ring#active-learning.ps.Z"
"1439","""First-order vs. second-order single layer recurrent neural networks,"""
"1440","Learning the past tense of english verbs: the symbolic pattern associators vs. connectionist models."
"1441","Halpern (1997). Defining explanation in probabilistic systems."
"1442","De Jong and John J."
"1443","http:##www.ai.mit.edu#people#cohn#SAL95#Contributions#gil.ps"
"1444","Pruning recurrent neural networks for improved generalization performance."
"1445","Characterizing the generalization performance of model selection strategies."
"1446","Tibshirani (1994) Combining Estimates in Regression and Classification,"
"1447","http:##ai.fri.uni-lj.si#matjazk#bibliography#iti95.ps"
"1448","""Using Fourier-neural recurrent networks to fit sequential input/output data,"""
"1449","http:##www.cs.colostate.edu#~heckendo#PsPapers#island.ps"
"1450","Bootstraping with Noise: An Effective Regularization Technique."
"1451","""Priors and Component Structures in Autoregressive Time Series,"""
"1452","""Bayesian Inference on Periodic-ities and Component Spectral Structure in Time Series,"""
"1453","A Provably Convergent Dynamic Training Method for Multilayer Perceptron Networks."
"1454","http:##forum.swarthmore.edu#~jay#learn-game#archive#NeuroDraughts-IAI.ps"
"1455","ftp:##ftp.ai.univie.ac.at#papers#oefai-tr-96-24.ps.Z"
"1456","Selection of Relevant Features in Machine Learning."
"1457","Exploratory Modelling of Multiple Non-stationary Time Series: Latent Process Structure & Decompositions,"" in Modelling Longitudinal and Spatially Correlated Data,"
"1458","Efficient theta-subsumption based on graph algorithms."
"1459","Derivation replay for partial-order planning."
"1460","Stochastic pro-positionalization of non-determinate background knowledge."
"1461","http:##swarm.cs.wustl.edu#~mccap#publications#goldrep.ps.gz"
"1462","http:##www.cs.monash.edu.au#~korb#causal-disc.ps.Z"
"1463","Reinforcement learning by probability matching."
"1464","A Review and Comparative Evaluation of Feature Weighting Methods for Lazy Learning Algorithms,"
"1465","Inductive Learning of Characteristic Concept Descriptions from Small Sets of Classified Examples."
"1466","Local selection."
"1467","""Regional stability of and ERS/JERS-1 classifier,"""
"1468","Presenting and analyzing the results of AI experiments: Data averaging and data snooping."
"1469","A survey of intron research in genetics."
"1470","Learning team strategies with multiple policy-sharing agents: A soccer case study."
"1471","""Changing supply functions in input/state stable systems,"""
"1472","http:##www.cis.ohio-state.edu#~kchen#nca97.ps"
"1473","Learning control knowledge in KADS knowledge-based systems: Machine learning meets knowledge engineering."
"1474","http:##www.cs.umt.edu#CS#FAC#OPITZ#papers#icml97.ps"
"1475","ftp:##synapse.cs.byu.edu#pub#papers#andersen.wcnn96.dmp_ga.ps"
"1476","Kritik: An early case-based design system. In Maher, M.L. & Pu,"
"1477","Learning Bayesian networks from incomplete data."
"1478","Learning to coordinate without sharing information."
"1479","""A Comparative Study of ID3 and Backpropagation for English Text-to-Speech Mapping,"""
"1480","Acquiring the mapping from meaning to sounds. Connection Science,"
"1481","Generation gaps revisited."
"1482","Recognition and exploitation of contextual clues via incremental meta-learning."
"1483","Creative design: reasoning and understanding. In Leake, D.B."
"1484","Multi-agent reinforcement learning: independent vs."
"1485","Genetic algorithms for vertex splitting in DAGs."
"1486","(1994) An application of ILP in music,"
"1487","http:##www.cs.unc.edu#~schmitt#rm_v15.ps"
"1488","http:##www.swi.psy.uva.nl#usr#remco#postscripts#Pos:97c.ps.gz"
"1489","(1992) ""Hyperparameter estimation in Dirichlet process mixture models,"" ISDS Discussion Paper #92-A03,"
"1490","Parallel Training of Simple Recurrent Neural Networks,"
"1491","Unsupervised learning procedures for neural networks."
"1492","http:##www.cs.umt.edu#CS#FAC#OPITZ#papers#opitz_icnn.ps"
"1493","Unsmearing visual motion: Development of long-range horizontal intrinsic connections."
"1494","Explaining ""explaining away""."
"1495","Auer and P.M Long. Simulating access to hidden information while learning."
"1496","Evolution of Homing Navigation in a Real Mobile Robot."
"1497","""Genetic Evolution of the Topology and Weight Distribution of Neural Networks"","
"1498","http:##www.techfak.uni-bielefeld.de#techfak#persons#katy#gws-cbr-96.ps.gz"
"1499","Efficient Nonparametric Estimation of Probability Density Functions."
"1500","Active learning in multilayer perceptrons,"
"1501","""Space-frequency localized basis function networks for nonlinear system estimation and control,"""
"1502","Bias and the quantification of stability."
"1503","Raising GA performance by simultaneous tuning of selective pressure and recombination disruptiveness."
"1504","http:##www.sdsc.edu#~tbailey#papers#clnl92.final2.ps"
"1505","Learning controllers for industrial robots."
"1506","http:##www.aic.nrl.navy.mil#papers#1994#AIC-94-017.ps"
"1507","Structural evaluation of analogies:"
"1508","http:##seclab.cs.ucdavis.edu#papers#gw.ps"
"1509","http:##www.icsi.berkeley.edu#~snarayan#250.ps.Z"
"1510","Induction of one-level decision trees."
"1511","`Machine learning in prognosis of the femoral neck fracture recovery\',"
"1512","Making SME greedy and pragmatic."
"1513","Understanding waveshrink: Variance and bias estimation."
"1514","Waveshrink with semi-soft shrinkage functions."
"1515","An algorithm for active data collection for learning|feasibility study with neural networks,"
"1516","`Non-myopic attribute estimation in regression\',"
"1517","(1991) Global optimization by means of distributed evolution Genetic Algorithms in Engineering and Computer Science Editor J."
"1518","http:##l2r.cs.uiuc.edu#~danr#Other-papers#People#Kakas#kakas-ilp97.ps.gz"
"1519","Markov games as a framework for multi-agent reinforcement learning."
"1520","Co-evolving soccer softbot team coordination with genetic programming. In RoboCup-97: The first robot world cup soccer games and conferences."
"1521","""Selection for wandering behavior in a small robot,"""
"1522","Evolving behavioral strategies in predators and prey."
"1523","Evolutionary algorithms: Some very old strategies for optimization and adaptation."
"1524","http:##www.cm.deakin.edu.au#~zijian#Papers#ecml98-tr-ting.ps.gz"
"1525","Incremental self-improvement for lifetime multi-agent reinforcement learning."
"1526","ftp:##borneo.gmd.de#pub#as#ga#gmd_as_ga-94_14.ps"
"1527","http:##ki.cs.tu-berlin.de#~schmid#pub-ps#eccm98-short.ps"
"1528","The royal road for genetic algorithms: fitness landscapes and genetic algorithm performance."
"1529","Neural network exploration using optimal experiment design."
"1530","Cbet: a case base exploration tool."
"1531","On the usefulness of re-using diagnostic solutions."
"1532","Pattern analysis and synthesis in attractor neural networks."
"1533","Decision graphs an extension of decision trees."
"1534","Reinforcement driven information acquisition in nondeterministic environments."
"1535","""The LBG-U method for vector quantization An improvement over LBG inspired from neural networks,"""
"1536","http:##www.eecs.uic.edu#~sloan#my-papers#eucolt-circulate.ps"
"1537","A performance model for knowledge-based systems."
"1538","Supporting combined human and machine planning: The Prodigy 4.0 User Interface Version 2.0 (Tech."
"1539","A simpler look at consistency."
"1540","Neural network approach to blind separation and enhancement of images."
"1541","A non-linear information maximisation algorithm that performs blind separation."
"1542","http:##www.elet.polimi.it#people#lanzi#report45.ps.gz"
"1543","http:##www.research.att.com#~singer#papers#ecuts_colt.ps.gz"
"1544","Minorization conditions and convergence rates for Markov chain Monte Carlo."
"1545","Uncertain inferences and uncertain conclusions."
"1546","A sampling-based heuristic for tree search."
"1547","Convergence of Gibbs sampler for a model related to James-Stein estimators."
"1548","http:##www.cs.jhu.edu#~sheppard#cs.605.755#papers#paper5-1.ps"
"1549","Predicting sunspots and exchange rates with connectionist networks."
"1550","An analysis of evolutionary programming."
"1551","Least generalizations and greatest specializations of sets of clauses."
"1552","http:##ai.fri.uni-lj.si#matjazk#bibliography#cadam95.ps"
"1553","(1997a) Bayesian time series: Models and computations for the analysis of time series in the physical sciences. In Maximum Entropy and Bayesian Methods 15,"
"1554","(1997b) Modelling and robustness issues in Bayesian time series analysis (with discussion). In Bayesian Robustness 2,"
"1555","Annealed competition of experts for a segmentation and classification of switching dynamics."
"1556","Why Error Measures are Sub-Optimal for Training Neural Network Pattern Classifiers."
"1557","http:##ai.fri.uni-lj.si#matjazk#bibliography#idamap96.ps"
"1558","On the worst-case analysis of temporal-difference learing algorithms."
"1559","Dynamic parameter encoding for Genetic Algorithms."
"1560","(1992b) Adapting crossover in a genetic algorithm."
"1561","http:##www.cs.ucl.ac.uk#staff#C.Harris#gp96edge.ps.gz"
"1562","http:##pgiot.core.ucl.ac.be#Gibbs#Article.ps"
"1563","ftp:##ftp.isds.duke.edu#pub#WorkingPapers#96-07.ps"
"1564","http:##www.cs.brandeis.edu#~hugues#papers#ICGI_98.ps.gz"
"1565","Supporting conversational case-based reasoning in an integrated reasoning framework."
"1566","Evolving cooperation strategies."
"1567","A simulation of adaptive agents in a hostile environment."
"1568","""Evolving non-trivial behaviors on real robots: a garbage collecting robot"","
"1569","http:##vlsicad.cs.ucla.edu#~abk#papers#conference#c47.ps"
"1570","Reinforcement learning algorithm for partially observable Markov decision problems."
"1571","ftp:##muskie.biostat.umn.edu#pub#1997#rr97-008.ps.Z"
"1572","http:##www.cs.gmu.edu:80#research#gag#papers#fuzzy.ps"
"1573","http:##www.dcs.ex.ac.uk#~pclane#ecai98.ps"
"1574","http:##cm.bell-labs.com#cm#cs#who#lorenz#papers#gp97.ps"
"1575","Discrete-time transitivity and accessibility: analytic systems."
"1576","From Bayesian networks to causal networks."
"1577","Application of Quantum Mechanical Properties to Machine Learning,"
"1578","ftp:##ftp.engr.orst.edu#pub#dambrosi#rssc-94.ps.Z"
"1579","Global self organization of all known protein sequences reveals inherent biological signatures."
"1580","ftp:##ftp.cc.gatech.edu#pub#groups#ai#goel#murdock#aid96.ps"
"1581","""Object-Oriented Design of Parallel BP Neural Network Simulator and Implementation on the connection machine CM-5"","
"1582","The Neural Network House: An overview."
"1583","file:##ftp.di.unito.it#pub#articles#robotics#learning_ex.ait95.ps.Z"
"1584","http:##www.rpi.edu#~bonisp#fuzzy-course#Papers-ps#SCfinal.ps"
"1585","http:##www.cs.utexas.edu#users#skumar#reports#robotics-report.ps"
"1586","http:##http.icsi.berkeley.edu#ftp#global#pub#ai#jagota#vol1_2.ps"
"1587","An extension of Fill\'s exact sampling algorithm to non-monotone chains."
"1588","Improved uniform test error bounds,"
"1589","http:##http.icsi.berkeley.edu#ftp#global#pub#ai#jagota#vol1_3.ps.gz"
"1590","Some remarks on Scheiblechner\'s treatment of ISOP models."
"1591","ftp:##ftp.cs.toronto.edu#pub#zoubin#compmod.ps.Z"
"1592","Incremental evolution of complex general behavior."
"1593","(in press). Evolving Neural Networks to Play Go."
"1594","ftp:##ftp.aic.nrl.navy.mil#pub#aswu#papers#aaai.96.ps.gz"
"1595","A survey of theory and methods of invariant item ordering. To appear,"
"1596","When will a genetic algorithm outperform hill climbing? In Stephanie Forrest, editor,"
"1597","New inexact parallel variable distribution algorithms."
"1598","Canonical momenta indicators of financial markets and neocortical EEG,"
"1599","""The third generation of neural network models,"""
"1600","Genetic Algorithms and Very Fast Reannealing: A Comparison,"
"1601","Extending theory refinement to m-of-n rules."
"1602","Representing aggregate belief through the competitive equilibrium of a securities market."
"1603","Semilinear predictability minimization produces well-known feature detectors."
"1604","Reinforcement learning with self-modifying policies."
"1605","Shifting inductive bias with success-story algorithm, adaptive Levin search, and incremental self-improvement."
"1606","Learning Singly Recursive Relations from Small Datasets."
"1607","http:##www.cs.cmu.edu#~jab#pubs#boyan.lstdl.ps"
"1608","ftp:##ftp.cs.utoronto.ca#pub#radford#ais.ps.Z"
"1609","Genetic programming and redundancy."
"1610","ftp:##ftp.ing.unlp.edu.ar#pub#papers#memetic#ba95br2.ps.Z"
"1611","ftp:##ftp.cs.uu.nl#pub#RUU#CS#techreps#CS-1998#1998-14.ps.gz"
"1612","ftp:##cns.brown.edu#nin#papers#nathan5.ps.Z"
"1613","P.L. (1995) Path-integral evolution of chaos embedded in noise:"
"1614","Pruning with generalization based weight saliencies:"
"1615","Using genetic programming to evolve board evaluation functions."
"1616","http:##www.cs.cmu.edu#~jab#pubs#moore.q2.ps.gz"
"1617","ftp:##ftp.cs.bris.ac.uk#pub#users#cgc#ECML98#jelonek.ps.Z"
"1618","Statistical mechanics of combat with human factors,"
"1619","Improving the performance of evolutionary optimization by dynamically scaling the evolution function."
"1620","ftp:##ftp.informatik.uni-siegen.de#pub#papers#pmerz#icec98.ps.gz"
"1621","Rational belief revision (preliminary report)."
"1622","A family of txed-point algorithms for independent component analysis."
"1623","Toward a market model for Bayesian inference."
"1624","(1994) Change point and change curve modeling in stochastic processes and spatial statistics."
"1625","a platform for emergencies management systems."
"1626","""Planning in a Complex Real Domain"","
"1627","Mbp on t0: mixing floating- and fix-point formats in bp learning."
"1628","http:##www.ai.mit.edu#people#unamay#papers#ev80.ps"
"1629","http:##www.isp.pitt.edu#~rymon#papers#ml95.ps"
"1630","http:##www.etse.urv.es#~drianyo#publications#CyS97.ps.Z"
"1631","file:##ftp.cs.utexas.edu#pub#neural-nets#papers#miikkulainen.emergent.ps.Z"
"1632","Generalisation performance of backpropagation learning on a syllabification task."
"1633","http:##www.cs.iastate.edu#~parekh#papers#Pruning.ps"
"1634","Independent component analysis by general nonlinear hebbian-like learning rules."
"1635","Neural network constructive algorithms: Trading generalization for learning efficiency? Circuits,"
"1636","Generalized Prioritized Sweeping."
"1637","Constructive neural network learning algorithms for multi-category classification."
"1638","The difficulties of learning logic programs with cut."
"1639","Back. The Gamma MLP for speech phoneme recognition."
"1640","One-unit learning rules for independent component analysis,"
"1641","http:##www.icsi.berkeley.edu#ftp#global#pub#ai#ahmad#ahmad_review.ps.Z"
"1642","The complexity of theory revision."
"1643","http:##www.cm.deakin.edu.au#~zijian#Papers#kbsj-cat.ps.gz"
"1644","Guessing can outperform many long time lag algorithms."
"1645","A computational view of population genetics."
"1646","Efficient algorithms inverting evolution."
"1647","Learning in continuous domains with delayed rewards."
"1648","http:##www.stat.wisc.edu#~jinf#Biostat#prelim.ps"
"1649","http:##www.cs.bris.ac.uk#Tools#Reports#Ps#1998-giraudcarrier.ps.gz"
"1650","Dynamic training subset selection for supervised learning in genetic programming."
"1651","Tackling the boolean even n parity problem with genetic programming and limited-error fitness."
"1652","(1998) Pruning decision trees with misclassification costs."
"1653","Genetic algorithms, selection schemes, and the varying effects of noise."
"1654","http:##www.math.tau.ac.il#~gales#papers#nips95.ps.gz"
"1655","Small populations over many generations can beat large populations over few generations in genetic programming."
"1656","(1997) Adaptive fraud detection. Data Mining and Knowledge Discovery,"
"1657","Learning in neural networks with Bayesian prototypes."
"1658","Context preserving crossover in genetic programming."
"1659","AN ANALYSIS OF HIERARCHICAL GENETIC PROGRAMMING."
"1660","Learning without state-estimation in Partially Observable Markovian Decision Processes,"
"1661","Fall diagnosis using dynamic belief networks."
"1662","Goal-based explanation evaluation."
"1663","Mark (1992), Two Methods for Hierarchy Learning in Reinforcement Environments,"
"1664","Evolutionary principles in self-referential learning, or on learning how to learn: the meta-meta-..."
"1665","A Neural Architecture for a High-Speed Database Query System."
"1666","On the Power of Equivalence Queries."
"1667","Profile-driven instruction level parallel scheduling with application to super blocks."
"1668","Genetic programming for pedestrians."
"1669","Faster Learning in Multi-Layer Networks by Handling Output Layer Flat-Spots."
"1670","http:##www-sigproc.eng.cam.ac.uk#~ad2#tr310.ps"
"1671","Construction of phylogenetic trees."
"1672","Case Retrieval Nets: Basic ideas and extensions. accepted for:"
"1673","Applying Case Retrieval Nets to diagnostic tasks in technical domains. accepted for:"
"1674","http:##www.cf.ac.uk#uwcc#maths#sahu#papers#ident3.ps.gz"
"1675","Neal (1997). Monte Carlo Implementation of Gaussian Process Models for Bayesian Regression and Classification."
"1676","ftp:##synapse.cs.byu.edu#pub#papers#andersen_95c.ps"
"1677","""Self-improving factory simulation using continuous-time average reward reinforcement learning"" in Proceedings of the Fourteenth International Machine Learning Conference.,"
"1678","Efficient Locally Weighted Polynomial Regression."
"1679","A six-point condition for ordinal matrices,"
"1680","Continuous-valued Xof-N attributes versus nominal Xof-N attributes for constructive induction: a case study."
"1681","A comparison of constructive induction with different types of new attribute."
"1682","An investigation of marker-passing algorithms for analogue retrieval."
"1683","DNA sequence classification using compression-based induction."
"1684","A model of rapid memory formation in the hippocampal system."
"1685","Comparison of neural net and conventional techniques for lighting control."
"1686","""Convergence in norm for alternating expectation-maximization (em) type algorithms,"""
"1687","""Refining PID controllers using neural networks,"""
"1688","http:##stat.fsu.edu#~mckeague#ps#mrrr.ps.gz"
"1689","http:##www.ai.mit.edu#~edelman#mirror#nips-91.ps.Z"
"1690","http:##www.demo.cs.brandeis.edu#papers#hiff_ppsn.ps"
"1691","Achieving super computer performance with a DSP array processor."
"1692","""Dynamical Behavior of Artifical Neural Networks with Random Weights,"" in Intelligent Engineering Systems Through Artificial Neural Networks,"
"1693","""On the effect of analog noise on discrete-time analog computations"","
"1694","http:##www.stat.colostate.edu#~jah#documents#auto.ps"
"1695","Evolving deterministic finite automata using cellular encoding."
"1696","Rochester Connectionist Simulator."
"1697","http:##www.ncc.up.pt#~amjorge#docs#Integrity_Constraints_in_ILP_using_a_Monte_Carlo_approach-Japan.ps.Z"
"1698","A trade network game with endogenous partner selection, Economic Report No."
"1699","""Using Neural Networks to Identify Jets"", Nucl."
"1700","""Finding Gluon Jets with a Neural trigger"","
"1701","""Self-organizing Networks for Extracting Jet Features"","
"1702","""On Langevin Updating in Multilayer Perceptrons"","
"1703","http:##www.iscs.nus.sg#~plong#papers#rects.ps"
"1704","""The functional transfer of knowledge for coronary artery disease diagnosis"","
"1705","A genetic algorithm for 3-D path planning of a mobile robots,"
"1706","Vapnik-Chervonenkis dimension of neural nets. The Handbook of Brain Theory and Neural Networks (M."
"1707","""Abstraction and Decomposition in Hill-climbing Design Optimization""."
"1708","Learning non-linearly separable boolean functions with linear threshold unit trees and madaline-style networks."
"1709","Causal inference, path analysis, and recursive structural equations models."
"1710","Generating Neural Networks Through the Induction of Threshold Logic Unit Trees (Extended Abstract)."
"1711","Experiments with the cascade-correlation algorithm. Microcomputer Applications,"
"1712","On learning visual concepts and DNF formulae."
"1713","Accounting for context in plan recognition, with application to traffic monitoring."
"1714","http:##www.eecs.umich.edu#~dpennock#homepage#papers#parallel-final.ps"
"1715","http:##www.cs.cmu.edu#~fgcozman#Research#QuasiBayesian#LearningCredalSets#TechReport97#index.ps"
"1716","http:##www.medg.lcs.mit.edu#ftp#doyle#arpi-final94.ps"
"1717","""Mass Reconstruction with a Neural Network"","
"1718","ftp:##synapse.cs.byu.edu#pub#papers#rudolph_89a.ps"
"1719","http:##www.informatik.hu-berlin.de#~cbr-ws#GWCBR98#PAPERS#Kruusmaa.ps.gz"
"1720","http:##www.iiia.csic.es#Publications#Reports#1998#98-15.ps.gz"
"1721","http:##www.medg.lcs.mit.edu#ftp#doyle#arpi96.ps"
"1722","Induction of Recursive Bayesian Classifiers In Proc."
"1723","""Induction of selective bayesian classifiers,"""
"1724","I.M.: Adapting to unknown smoothness via wavelet shrinkage."
"1725","Data Structures and Genetic Programming,"
"1726","Theory of correlations in stochastic neural networks."
"1727","A note on the Dirichlet process prior in Bayesian nonparametric inference with partial exchangeability."
"1728","http:##www.ri.cmu.edu#afs#cs.cmu.edu#user#leemon#www#papers#adpc#adpc.ps"
"1729","A mixture of experts model exhibiting prosopag--nosia."
"1730","Modeling cortical plasticity based on adapting lateral interaction."
"1731","ftp:##ftp.comlab.ox.ac.uk#pub#Packages#ILP#Papers#slp.ps"
"1732","Inductive constraint logic and the mutagenesis problem."
"1733","http:##sprott.physics.wisc.edu#neural#chaos.ps"
"1734","Automated synthesis of computational circuits using genetic programming."
"1735","Maximum likelihood and covariant algorithms for independent component analysis."
"1736","Computation and Neural Systems,"
"1737","Training algorithms for hidden Markov models using entropy based distance functions."
"1738","ftp:##ftp.cs.bham.ac.uk#pub#authors#W.B.Langdon#papers#CSRP-98-16.ps.gz"
"1739","(1997) ""Analysis of a non-reversible Markov chain sampler"","
"1740","Mixtures of probabilistic principle component analysers."
"1741","ftp:##ftp.cs.bham.ac.uk#pub#authors#W.B.Langdon#papers#moore#moore.naecon97.ps.gz"
"1742","""Automated WYSIWYG Design of both the topology and component val 223 ues of electrical circuits using genetic programming,"""
"1743","Objective functions for neural map formation."
"1744","Continuous sigmoidal belief networks trained using slice sampling."
"1745","Sequential update of Bayesian network structure."
"1746","Observation on cortical mechanisms for object recognition and learning."
"1747","Using qualitative relationships for bounding probability distributions."
"1748","Serial and parallel multicategory discrimination."
"1749","A comparison of crossover and mutation in genetic programming."
"1750","(1995) ""Suppressing random walks in Markov chain Monte Carlo using ordered overrelaxation"","
"1751","""On Functional Relation between Recognition Error and Class-Selective Reject,"""
"1752","http:##www.cs.twsu.edu#~haynes#mpi.ps"
"1753","http:##www.ics.uci.edu#~pazzani#Publications#Knowledge-Acquisition-KAW-92.ps"
"1754","http:##www.cs.washington.edu#research#jair#volume7#halpern97a.ps"
"1755","Plateaus and plateau search in boolean satisfi-ability problems: When to give up searching and start again."
"1756","Rapid quality estimation of neural network input representations."
"1757","http:##www.math.rutgers.edu#~sontag#FTP_DIR#dt-further-albertini.ps.gz"
"1758","Globally convergent inexact Newton methods,"
"1759","Cultural transmission of information in genetic programming."
"1760","What kind of adaptation do CBR systems need? a review of current practice."
"1761","Analysis of decision boundaries generated by constructive neural network learning algorithms."
"1762","ftp:##ftp.cs.rutgers.edu#pub#farach#SpliceJunction.ps.Z"
"1763","TD models: modeling the world at a mixture of time scales."
